epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,102.706,0.77998,0.50726,1.0657,0.98122,0.98214,0.99448,0.84313,0.71351,0.39314,0.89336,0.00144145,0.00144145,0.00144145
43,105.13,0.75883,0.49226,1.0582,0.68212,0.8011,0.68737,0.48244,0.92327,0.75815,1.03886,0.00143595,0.00143595,0.00143595
44,107.56,0.77316,0.48069,1.05756,0.98617,1,0.995,0.82094,0.71018,0.36047,0.90796,0.00143045,0.00143045,0.00143045
45,109.987,0.77917,0.47794,1.06157,0.97555,0.98303,0.99448,0.82523,0.69366,0.38766,0.88545,0.00142495,0.00142495,0.00142495
46,112.412,0.77886,0.48633,1.05807,0.99498,1,0.995,0.83531,0.66888,0.34699,0.88645,0.00141945,0.00141945,0.00141945
47,114.838,0.79796,0.48373,1.08082,0.94703,1,0.98591,0.85859,0.68724,0.36551,0.87861,0.00141395,0.00141395,0.00141395
48,117.272,0.73094,0.43758,1.04768,0.99055,1,0.995,0.87294,0.67679,0.36774,0.87921,0.00140845,0.00140845,0.00140845
49,119.7,0.73441,0.4623,1.05821,0.97767,0.93214,0.98244,0.78714,0.6335,0.39402,0.87382,0.00140295,0.00140295,0.00140295
50,122.125,0.73165,0.47781,1.04551,0.99617,0.98747,0.995,0.8328,0.74598,0.38663,0.89314,0.00139745,0.00139745,0.00139745
51,124.546,0.75551,0.48771,1.05917,0.9836,0.97168,0.99355,0.85325,0.62474,0.37426,0.87117,0.00139195,0.00139195,0.00139195
52,126.985,0.74722,0.46103,1.04974,0.92084,0.84721,0.89974,0.62775,0.85955,0.69684,1.02899,0.00138644,0.00138644,0.00138644
53,129.419,0.7574,0.46313,1.07552,0.69999,0.625,0.70095,0.48958,1.25945,0.70582,1.29162,0.00138094,0.00138094,0.00138094
54,131.847,0.75079,0.46477,1.04412,0.99121,0.99767,0.995,0.87323,0.6949,0.33661,0.87532,0.00137544,0.00137544,0.00137544
55,134.273,0.71152,0.45243,1.03387,0.99028,0.99834,0.995,0.86888,0.64119,0.35693,0.85222,0.00136994,0.00136994,0.00136994
56,136.71,0.72999,0.4567,1.04064,0.97352,1,0.99448,0.85952,0.63468,0.37494,0.87165,0.00136444,0.00136444,0.00136444
57,139.144,0.71448,0.43189,1.03347,0.98347,0.99791,0.995,0.84875,0.68712,0.41903,0.86992,0.00135894,0.00135894,0.00135894
58,141.573,0.70881,0.44789,1.03518,0.92478,0.98596,0.98591,0.84951,0.68875,0.3665,0.88461,0.00135344,0.00135344,0.00135344
59,143.999,0.70997,0.43933,1.05695,0.91013,0.99553,0.98667,0.74121,0.76697,0.51215,0.91571,0.00134794,0.00134794,0.00134794
60,146.443,0.70896,0.43554,1.03443,0.91972,0.83491,0.94069,0.74393,0.81877,0.67685,0.99065,0.00134244,0.00134244,0.00134244
61,148.873,0.72931,0.45028,1.05983,0.9911,0.99131,0.995,0.8675,0.55917,0.31078,0.84442,0.00133693,0.00133693,0.00133693
62,151.297,0.75696,0.47287,1.06115,0.94083,0.99066,0.98591,0.79527,0.72817,0.33864,0.93966,0.00133143,0.00133143,0.00133143
63,153.722,0.71286,0.44099,1.04307,0.93283,0.99604,0.98994,0.84466,0.76888,0.37381,0.91061,0.00132593,0.00132593,0.00132593
64,156.167,0.71389,0.4392,1.05231,0.9012,0.90663,0.94241,0.75677,0.84806,0.63241,0.94104,0.00132043,0.00132043,0.00132043
65,158.6,0.7041,0.419,1.02727,0.96313,0.94168,0.97165,0.66963,0.96159,0.54968,1.14758,0.00131493,0.00131493,0.00131493
66,161.02,0.71829,0.43657,1.04081,0.94049,0.98288,0.99448,0.85381,0.69928,0.35878,0.87517,0.00130943,0.00130943,0.00130943
67,163.444,0.68606,0.40744,1.03563,0.98214,0.93091,0.95429,0.82187,0.71266,0.39878,0.89118,0.00130393,0.00130393,0.00130393
68,165.876,0.72158,0.42332,1.04294,0.98457,0.99675,0.995,0.85978,0.65687,0.33378,0.87535,0.00129843,0.00129843,0.00129843
69,168.304,0.67692,0.42225,1.0316,0.99696,0.99048,0.995,0.77643,0.74412,0.35998,0.94567,0.00129293,0.00129293,0.00129293
70,170.726,0.70623,0.42968,1.03837,0.95925,0.98214,0.99448,0.83861,0.68819,0.3606,0.88021,0.00128742,0.00128742,0.00128742
71,173.152,0.68891,0.41169,1.01862,0.98887,1,0.995,0.86006,0.65709,0.34991,0.87134,0.00128192,0.00128192,0.00128192
72,175.592,0.65918,0.41615,1.00423,0.99485,0.99688,0.995,0.84332,0.65881,0.36664,0.89148,0.00127642,0.00127642,0.00127642
73,178.019,0.70848,0.45696,1.03033,0.99067,0.99971,0.995,0.84861,0.68688,0.35354,0.88517,0.00127092,0.00127092,0.00127092
74,180.436,0.70691,0.45461,1.04463,0.9922,0.998,0.995,0.86553,0.66985,0.31752,0.88895,0.00126542,0.00126542,0.00126542
75,182.862,0.67996,0.4402,1.00684,0.98871,0.987,0.995,0.8863,0.58147,0.30178,0.82758,0.00125992,0.00125992,0.00125992
76,185.313,0.66029,0.40103,1.00993,0.99702,0.63471,0.73877,0.58094,0.98599,0.87908,1.20833,0.00125442,0.00125442,0.00125442
77,187.74,0.69425,0.42715,1.02733,0.98517,0.99616,0.995,0.87344,0.58105,0.30489,0.84367,0.00124892,0.00124892,0.00124892
78,190.165,0.71033,0.41794,1.01771,0.99067,0.99624,0.995,0.85311,0.61992,0.31122,0.83548,0.00124342,0.00124342,0.00124342
79,192.597,0.67027,0.41358,1.02559,0.09402,0.08571,0.0702,0.02286,2.47359,5.19108,2.87445,0.00123791,0.00123791,0.00123791
80,195.034,0.68046,0.41024,1.02807,0.99495,0.99134,0.995,0.85351,0.69223,0.34993,0.8942,0.00123241,0.00123241,0.00123241
81,197.463,0.67317,0.41837,1.01907,0.98428,0.98723,0.995,0.8419,0.65417,0.30835,0.87336,0.00122691,0.00122691,0.00122691
82,199.893,0.63398,0.39711,1.00817,0.99352,0.99678,0.995,0.82695,0.70083,0.3105,0.91068,0.00122141,0.00122141,0.00122141
83,202.319,0.6673,0.41701,1.00804,0.98865,0.98977,0.995,0.85876,0.63168,0.30288,0.85341,0.00121591,0.00121591,0.00121591
84,204.753,0.65414,0.404,1.03433,0.99388,1,0.995,0.8634,0.72049,0.33055,0.89417,0.00121041,0.00121041,0.00121041
85,207.178,0.68236,0.42049,1.01735,0.923,0.71723,0.82399,0.62851,0.9436,0.58971,1.06762,0.00120491,0.00120491,0.00120491
86,209.607,0.66232,0.40179,1.02252,0.99747,0.90756,0.94216,0.75569,0.76283,0.49672,0.94662,0.00119941,0.00119941,0.00119941
87,212.031,0.65524,0.39797,0.9976,0.95686,0.97077,0.99379,0.87156,0.69179,0.36294,0.86619,0.00119391,0.00119391,0.00119391
88,214.464,0.63294,0.39225,0.98811,0.99046,0.98602,0.995,0.88077,0.686,0.32588,0.87713,0.0011884,0.0011884,0.0011884
89,216.892,0.61452,0.38017,0.98197,0.99569,0.99448,0.995,0.908,0.56836,0.35825,0.82087,0.0011829,0.0011829,0.0011829
90,219.34,0.62929,0.38019,1.01004,0.8055,0.93175,0.94653,0.7467,0.82042,0.57084,0.98065,0.0011774,0.0011774,0.0011774
91,221.764,0.65412,0.40281,1.02199,0.99312,0.99801,0.995,0.87838,0.61788,0.30725,0.85339,0.0011719,0.0011719,0.0011719
92,224.199,0.60921,0.38118,1.00149,0.99621,0.99629,0.995,0.8708,0.64687,0.31521,0.85798,0.0011664,0.0011664,0.0011664
93,226.627,0.61483,0.38868,0.98784,0.9934,1,0.995,0.88712,0.66568,0.31146,0.85441,0.0011609,0.0011609,0.0011609
94,229.042,0.62706,0.38222,1.00077,0.99581,0.99976,0.995,0.88727,0.59047,0.29463,0.85004,0.0011554,0.0011554,0.0011554
95,231.474,0.64906,0.39187,1.01106,0.99406,0.9991,0.995,0.88025,0.61243,0.30222,0.85044,0.0011499,0.0011499,0.0011499
96,233.914,0.63261,0.39426,0.99316,0.99125,0.99817,0.995,0.87513,0.58249,0.34165,0.84296,0.0011444,0.0011444,0.0011444
97,236.349,0.61889,0.37904,0.99395,0.94196,0.98478,0.995,0.84567,0.66959,0.3405,0.86879,0.00113889,0.00113889,0.00113889
98,238.777,0.62773,0.38758,0.99726,0.9936,0.99315,0.995,0.86634,0.61382,0.31095,0.8608,0.00113339,0.00113339,0.00113339
99,241.208,0.60647,0.37928,0.97763,0.83022,0.99754,0.94222,0.74813,0.76417,0.43802,0.90141,0.00112789,0.00112789,0.00112789
100,243.65,0.64597,0.38204,1.00172,0.91555,0.98339,0.98591,0.87934,0.61776,0.31458,0.86386,0.00112239,0.00112239,0.00112239
101,246.073,0.62244,0.39474,1.00335,0.91264,0.98412,0.99045,0.85322,0.6265,0.35035,0.86246,0.00111689,0.00111689,0.00111689
102,248.49,0.65365,0.38242,0.99524,0.99706,0.98528,0.995,0.86943,0.70296,0.3504,0.8749,0.00111139,0.00111139,0.00111139
103,250.918,0.65071,0.38069,0.99962,0.65075,0.7717,0.67862,0.44712,0.95999,0.79157,1.13686,0.00110589,0.00110589,0.00110589
104,253.359,0.62408,0.37652,0.99652,0.99455,0.98933,0.995,0.87498,0.64775,0.30011,0.86141,0.00110039,0.00110039,0.00110039
105,255.79,0.65167,0.38173,1.00335,0.99675,0.98422,0.995,0.89083,0.5242,0.27172,0.83192,0.00109489,0.00109489,0.00109489
106,258.217,0.63152,0.3833,1.01124,0.93802,0.88214,0.95592,0.75231,0.62707,0.35719,0.867,0.00108938,0.00108938,0.00108938
107,260.637,0.63071,0.38164,1.00824,0.99362,0.99877,0.995,0.88425,0.63308,0.30978,0.85925,0.00108388,0.00108388,0.00108388
108,263.073,0.60851,0.36053,0.98656,0.99629,0.9995,0.995,0.8874,0.65434,0.28539,0.85568,0.00107838,0.00107838,0.00107838
109,265.496,0.60433,0.36035,0.9766,0.94914,1,0.98591,0.88439,0.61586,0.30819,0.86645,0.00107288,0.00107288,0.00107288
110,267.92,0.60644,0.37251,0.98136,0.9946,1,0.995,0.87918,0.58913,0.28852,0.85935,0.00106738,0.00106738,0.00106738
111,270.346,0.61349,0.38369,0.99145,0.99547,0.99688,0.995,0.87784,0.63388,0.31258,0.87643,0.00106188,0.00106188,0.00106188
112,272.787,0.62328,0.39085,1.00131,0.90925,0.83755,0.87741,0.70379,0.76719,0.50232,0.93636,0.00105638,0.00105638,0.00105638
113,275.217,0.59246,0.3645,0.98554,0.99445,1,0.995,0.87956,0.6241,0.29195,0.86456,0.00105088,0.00105088,0.00105088
114,277.644,0.65097,0.39087,1.00429,0.99553,0.99968,0.995,0.89769,0.59407,0.28788,0.86113,0.00104538,0.00104538,0.00104538
115,280.075,0.6314,0.38304,1.00452,0.99484,1,0.995,0.88312,0.54322,0.26799,0.83073,0.00103987,0.00103987,0.00103987
116,282.513,0.59846,0.37261,0.98258,0.99576,0.99723,0.995,0.87899,0.55427,0.26067,0.83959,0.00103437,0.00103437,0.00103437
117,284.943,0.59744,0.3696,0.98766,0.98996,0.98964,0.995,0.89697,0.57421,0.26627,0.83699,0.00102887,0.00102887,0.00102887
118,287.366,0.58383,0.36437,0.98065,0.99448,0.98961,0.995,0.89607,0.68143,0.3021,0.87411,0.00102337,0.00102337,0.00102337
119,289.79,0.58362,0.36813,0.96902,0.98908,0.9976,0.995,0.8891,0.57505,0.2829,0.84206,0.00101787,0.00101787,0.00101787
120,292.223,0.56248,0.35162,0.9695,0.95398,0.948,0.96637,0.82889,0.61568,0.38884,0.88455,0.00101237,0.00101237,0.00101237
121,294.645,0.62854,0.36831,0.99076,0.94354,0.95127,0.96849,0.80677,0.67899,0.41419,0.88969,0.00100687,0.00100687,0.00100687
122,297.079,0.60697,0.35912,0.98754,0.99564,0.98676,0.995,0.89945,0.59238,0.2847,0.85004,0.00100137,0.00100137,0.00100137
123,299.512,0.57426,0.34311,0.97055,0.98621,0.9973,0.995,0.87837,0.56372,0.2631,0.82615,0.000995866,0.000995866,0.000995866
124,301.951,0.61507,0.37411,1.00396,0.99111,0.9982,0.995,0.90032,0.54119,0.28518,0.83253,0.000990365,0.000990365,0.000990365
125,304.379,0.58954,0.3637,0.99059,0.99633,0.99904,0.995,0.89481,0.54646,0.26864,0.83154,0.000984864,0.000984864,0.000984864
126,306.805,0.58078,0.37817,0.97705,0.99676,0.98214,0.99448,0.87956,0.58981,0.29117,0.83197,0.000979362,0.000979362,0.000979362
127,309.228,0.56148,0.3495,0.97061,0.99459,0.99595,0.995,0.89818,0.55836,0.28277,0.84058,0.000973861,0.000973861,0.000973861
128,311.666,0.54015,0.33929,0.9578,0.99646,0.99788,0.995,0.89903,0.58214,0.28127,0.84018,0.00096836,0.00096836,0.00096836
129,314.086,0.58258,0.37523,0.97873,0.98886,0.99776,0.995,0.89153,0.58986,0.29562,0.84697,0.000962859,0.000962859,0.000962859
130,316.512,0.57983,0.35354,0.97662,0.988,0.99728,0.995,0.86633,0.55955,0.27497,0.83493,0.000957358,0.000957358,0.000957358
131,318.939,0.59178,0.37335,0.99804,0.98945,0.99726,0.995,0.86102,0.61287,0.29214,0.86607,0.000951857,0.000951857,0.000951857
132,321.374,0.58528,0.3674,0.97321,0.99624,0.98818,0.995,0.87522,0.62394,0.3097,0.84889,0.000946356,0.000946356,0.000946356
133,323.813,0.59655,0.35017,0.97854,0.99718,0.98656,0.995,0.88894,0.64336,0.28945,0.86124,0.000940855,0.000940855,0.000940855
134,326.248,0.55785,0.35109,0.9853,0.99269,0.99939,0.995,0.89971,0.64866,0.29714,0.86473,0.000935354,0.000935354,0.000935354
135,328.693,0.5696,0.33795,0.97249,0.99024,0.99842,0.995,0.87849,0.60947,0.26759,0.85756,0.000929853,0.000929853,0.000929853
136,331.143,0.5613,0.3486,0.97178,0.98837,0.99733,0.995,0.87507,0.62418,0.25902,0.8527,0.000924352,0.000924352,0.000924352
137,333.57,0.57729,0.34462,0.97515,0.98798,0.99733,0.995,0.89596,0.58914,0.26464,0.82825,0.00091885,0.00091885,0.00091885
138,335.992,0.56966,0.36639,0.96606,0.9264,0.93888,0.95195,0.8016,0.60958,0.35259,0.83576,0.000913349,0.000913349,0.000913349
139,338.424,0.56852,0.34813,0.96793,0.88624,0.85546,0.88223,0.7273,0.62274,0.56385,0.85196,0.000907848,0.000907848,0.000907848
140,340.87,0.53007,0.33005,0.96616,0.99386,0.99798,0.995,0.8699,0.67064,0.29039,0.86672,0.000902347,0.000902347,0.000902347
141,343.306,0.55478,0.33532,0.96973,0.99344,0.99732,0.995,0.86526,0.59356,0.29686,0.85558,0.000896846,0.000896846,0.000896846
142,345.765,0.5599,0.35577,0.96307,0.82863,0.76636,0.85916,0.68464,0.77852,0.61311,0.97011,0.000891345,0.000891345,0.000891345
143,348.234,0.55979,0.34737,0.97356,0.7095,0.65357,0.66513,0.44509,1.13926,1.31273,1.3007,0.000885844,0.000885844,0.000885844
144,350.678,0.54643,0.33145,0.97543,0.68106,0.63992,0.72618,0.49629,0.99125,1.03202,1.27642,0.000880343,0.000880343,0.000880343
145,353.109,0.5724,0.3487,0.96662,0.98824,0.9973,0.995,0.87513,0.60911,0.28935,0.83738,0.000874842,0.000874842,0.000874842
146,355.536,0.5481,0.33496,0.96957,0.98877,0.99703,0.995,0.89454,0.63623,0.2894,0.8527,0.00086934,0.00086934,0.00086934
147,357.975,0.55345,0.34185,0.96879,0.99391,0.98214,0.99448,0.88466,0.64876,0.28482,0.85694,0.000863839,0.000863839,0.000863839
148,360.419,0.55723,0.33287,0.95936,0.99738,0.99957,0.995,0.86383,0.60169,0.29027,0.84791,0.000858338,0.000858338,0.000858338
149,362.857,0.5669,0.33874,0.96918,0.98968,0.99596,0.995,0.88517,0.64169,0.2819,0.85259,0.000852837,0.000852837,0.000852837
150,365.288,0.57139,0.34242,0.98095,0.9966,0.99855,0.995,0.88129,0.6566,0.29542,0.86233,0.000847336,0.000847336,0.000847336
151,367.724,0.53321,0.33074,0.96328,0.9965,1,0.995,0.85902,0.63957,0.2925,0.87245,0.000841835,0.000841835,0.000841835
152,370.165,0.59168,0.34481,0.97358,0.99445,1,0.995,0.8976,0.5647,0.26279,0.83791,0.000836334,0.000836334,0.000836334
153,372.602,0.54586,0.34725,0.96595,0.99579,1,0.995,0.88725,0.62055,0.28881,0.83098,0.000830833,0.000830833,0.000830833
154,375.029,0.54045,0.33927,0.95606,0.99344,0.99956,0.995,0.88917,0.62145,0.29308,0.85357,0.000825332,0.000825332,0.000825332
155,377.473,0.53216,0.33977,0.96711,0.99335,0.99836,0.995,0.89262,0.61533,0.2706,0.84944,0.000819831,0.000819831,0.000819831
156,379.916,0.56399,0.34029,0.96714,0.97693,0.99893,0.99379,0.89029,0.52901,0.26218,0.81978,0.000814329,0.000814329,0.000814329
157,382.346,0.52469,0.31969,0.95243,0.99264,0.99913,0.995,0.88967,0.56997,0.26634,0.81433,0.000808828,0.000808828,0.000808828
158,384.777,0.5325,0.32228,0.94925,0.9923,0.99817,0.995,0.89167,0.56554,0.27477,0.82149,0.000803327,0.000803327,0.000803327
159,387.248,0.53823,0.3312,0.97288,0.9909,0.99838,0.995,0.88814,0.6019,0.27607,0.82882,0.000797826,0.000797826,0.000797826
160,389.685,0.52348,0.32759,0.95542,0.99218,0.99834,0.995,0.89246,0.59032,0.27,0.83653,0.000792325,0.000792325,0.000792325
161,392.11,0.50146,0.31377,0.9435,0.99772,0.99971,0.995,0.89075,0.6423,0.28703,0.85791,0.000786824,0.000786824,0.000786824
162,394.533,0.54297,0.33553,0.94969,0.98983,0.99781,0.995,0.88566,0.58985,0.26312,0.84426,0.000781323,0.000781323,0.000781323
163,396.961,0.51345,0.31917,0.94488,0.993,0.99973,0.995,0.88494,0.57863,0.25961,0.84622,0.000775822,0.000775822,0.000775822
164,399.406,0.53272,0.32776,0.9553,0.99641,0.99715,0.995,0.88373,0.57277,0.25787,0.8206,0.000770321,0.000770321,0.000770321
165,401.826,0.53237,0.32871,0.95027,0.99155,0.99234,0.995,0.87901,0.6282,0.27918,0.85231,0.00076482,0.00076482,0.00076482
166,404.249,0.50646,0.31451,0.9467,0.99086,0.9978,0.995,0.88741,0.58788,0.26645,0.83677,0.000759318,0.000759318,0.000759318
167,406.679,0.53223,0.33651,0.96152,0.9993,1,0.995,0.90075,0.58424,0.27022,0.83433,0.000753817,0.000753817,0.000753817
168,409.116,0.50036,0.30777,0.93854,0.98889,0.99832,0.995,0.88974,0.57235,0.25598,0.8371,0.000748316,0.000748316,0.000748316
169,411.545,0.52096,0.33384,0.96072,0.99313,0.99985,0.995,0.91236,0.57644,0.26196,0.81515,0.000742815,0.000742815,0.000742815
170,413.985,0.50706,0.31964,0.9466,0.99304,0.99915,0.995,0.90801,0.6045,0.27881,0.81678,0.000737314,0.000737314,0.000737314
171,416.408,0.51387,0.30765,0.95794,0.99426,1,0.995,0.89265,0.54248,0.25611,0.81581,0.000731813,0.000731813,0.000731813
172,418.841,0.49963,0.30839,0.94671,0.99438,1,0.995,0.89177,0.58636,0.25507,0.83682,0.000726312,0.000726312,0.000726312
173,421.265,0.51242,0.30924,0.95264,0.9917,0.99775,0.995,0.87177,0.59635,0.26334,0.85195,0.000720811,0.000720811,0.000720811
174,423.691,0.49568,0.30724,0.93771,0.99957,0.96978,0.98311,0.85906,0.59751,0.35199,0.85756,0.00071531,0.00071531,0.00071531
175,426.113,0.47814,0.31388,0.93821,0.99419,1,0.995,0.8903,0.5914,0.27294,0.82267,0.000709809,0.000709809,0.000709809
176,428.557,0.47547,0.30754,0.93072,0.9924,0.99613,0.995,0.88904,0.55471,0.25235,0.81528,0.000704307,0.000704307,0.000704307
177,430.981,0.50149,0.31193,0.93044,0.99312,0.98214,0.99355,0.87861,0.61832,0.2773,0.84021,0.000698806,0.000698806,0.000698806
178,433.407,0.53882,0.32145,0.96408,0.95905,0.99979,0.98507,0.90308,0.52916,0.27883,0.80613,0.000693305,0.000693305,0.000693305
179,435.832,0.51098,0.32443,0.94491,0.99649,0.97408,0.99235,0.88149,0.61176,0.31069,0.84237,0.000687804,0.000687804,0.000687804
180,438.269,0.53876,0.31591,0.97018,0.99135,0.99887,0.995,0.8947,0.51236,0.23981,0.78836,0.000682303,0.000682303,0.000682303
181,440.696,0.50645,0.30754,0.94328,0.99303,0.99873,0.995,0.89179,0.5459,0.25046,0.80123,0.000676802,0.000676802,0.000676802
182,443.116,0.52435,0.31704,0.9541,0.98727,0.91429,0.95777,0.81242,0.67723,0.41561,0.8934,0.000671301,0.000671301,0.000671301
183,445.54,0.50138,0.31748,0.95645,0.95361,0.9897,0.995,0.90224,0.60771,0.26306,0.82624,0.0006658,0.0006658,0.0006658
184,447.977,0.50292,0.30669,0.95267,0.99326,0.99997,0.995,0.88695,0.56361,0.24942,0.81456,0.000660299,0.000660299,0.000660299
185,450.409,0.51685,0.31421,0.95064,0.98223,0.99477,0.995,0.88982,0.61894,0.302,0.83412,0.000654798,0.000654798,0.000654798
186,452.835,0.49525,0.30586,0.93291,0.99213,0.99974,0.995,0.91363,0.60179,0.25327,0.82237,0.000649297,0.000649297,0.000649297
187,455.273,0.51807,0.32604,0.9599,0.99322,0.9987,0.995,0.89635,0.57248,0.24294,0.81673,0.000643795,0.000643795,0.000643795
188,457.713,0.48786,0.31452,0.94163,0.99455,0.99912,0.995,0.89664,0.51676,0.23542,0.80759,0.000638294,0.000638294,0.000638294
